SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	option1
GSM1956996	-122.7446597673	82.7590913892	-30.7869498764	-87.2537241595	63.9830348706	16.2333572995	-15.9540119712	10.0358844782	2.8058393152	-26.7204724823	1.0488495763	2.6826899675	-0.5712889142	5.438650636	-0.2060261282	2.9274168727	-1.0233374083	4.0232569249	3.1873037309	-1.4527533113	7.7576396031	-7.3237147923	5.3251222094	11.5974216249	13.4790477944	1.6830747673	16.5625294756	-28.037792566	-35.7598424095	-11.5452589223	0.645063351	11.8551198487	2.6518231889	9.574430114	-0.0233100924	-2.76111517547376E-013	b
GSM1956997	-121.4809028056	79.696567589	-32.4916164777	-89.1216295606	66.7039080231	12.848300339	-14.1798066169	6.0871022675	2.4510883627	-21.9940770758	3.2906021874	0.2249355069	5.2604989243	0.2951169016	4.9974735782	1.6906249549	2.1327799034	-1.5181785026	1.5104211476	-0.0250204261	-5.3880213238	4.5965162751	0.1408448555	-8.7885542792	-6.1495029441	0.1863721988	9.6963098278	-19.3462420502	49.0731898037	6.8250844271	1.7862112649	-11.912449582	3.2992705541	-4.4411374692	-1.1674249817	-5.8390155232603E-013	b
GSM1957010	53.8023378695	-105.8107800479	84.2167771708	-72.4893576233	-13.4622343562	-2.3534891777	13.8293637176	-3.1523699151	9.6754769409	17.3503014181	24.8014434703	38.9861166773	-4.5551871313	13.8313978618	-1.1469977891	1.8371581191	-13.8504983633	5.0949304686	23.4905931925	-39.0632508492	-12.235416552	10.4662048455	-7.9278329113	-14.5341341139	13.9382710753	-7.7006309057	-1.3356243295	-0.2534603022	-0.6297312662	-0.9667263625	-1.5444802179	1.9222900872	-0.150586194	1.1865789436	1.1432931681	-3.10770642076089E-013	b
GSM1957011	58.6954983914	-102.6025096905	83.3646971376	-70.3799893631	-10.8930320511	-4.3481220225	13.0572571392	-10.2471854278	0.4565829435	6.3869575178	14.9743338246	22.0684714349	0.5155452472	-9.2838790614	5.5467174129	-3.0047198307	13.6145365267	0.349213472	-6.3488440733	20.9459979339	-6.5961123853	5.7039980892	-16.1863845251	8.0844475786	-41.0661222646	25.8601513876	8.5197253394	-6.4592829486	-12.2251927208	5.71227538	9.0973057724	-1.3596829246	-0.279317712	-5.7962207856	1.5887183841	-5.76960923698647E-013	b
GSM1957012	58.7453094413	-97.837433485	80.8035886145	-69.2916185385	-19.1233061131	-0.7274702305	3.8121927518	-4.0009690543	3.6004446641	3.1280170566	15.8794906932	26.3310966014	-10.6189957436	-8.8201286342	3.3343874116	-3.7047707985	3.8543677237	-7.7336825214	-22.6248828528	22.6278872103	31.92882103	-19.3271396453	24.1232918456	3.8326990445	16.8622454259	-15.2653046941	0.904022766	11.0429073437	11.096148912	-7.867569674	-2.9109598503	-1.3953611516	-1.6103540608	0.6571217365	-4.252669741	-1.2167728576009E-013	b
GSM1957013	71.1454154846	-115.9663203841	79.2896740283	-50.894443538	-27.7516093778	1.9546956588	-3.0868263763	9.775530234	3.5796966128	-0.1853990562	-9.9252322935	-46.7076958258	29.2075751269	3.6753574458	-32.909697883	-8.8340819893	-13.4654268914	-2.036659298	10.1693700168	-8.5453806034	24.2817672759	-0.1506164101	4.1566502326	-15.1247039902	-11.4894305054	-0.7303900241	16.0304302554	4.4446171504	-0.5650679836	-2.1322602789	7.3264469337	4.9189491209	-1.1289630427	-6.7192788363	0.0504404451	-4.17631478445007E-013	b
GSM1957014	76.441452509	-107.4975113989	79.3638076428	-48.1756266544	-37.9149001988	-2.8259027901	-1.7152211107	6.3205756649	-6.713796966	-15.2347771491	-23.6536623013	-24.3551775043	-9.0984315681	0.1032014908	12.4356350863	6.4768025715	6.6967983203	4.6775105344	-2.3213701376	1.8922042057	-20.1907163626	0.4904433715	0.782388616	9.0808947036	13.2835811668	0.4644514259	-10.8676654792	-7.0371682943	2.1392892335	2.1708119686	2.2078261995	-8.4463853965	-39.9016084611	11.9577178461	11.7106812503	-1.81169153030264E-013	b
GSM1957015	73.6658030054	-107.3293855208	81.5901029006	-41.9977470671	-41.0631361861	-1.2990381726	-4.1369313373	5.147966401	-4.3445735336	-15.4083241766	-18.0716990498	-22.6263940148	-5.1352026944	-3.2422093953	10.010884501	6.5938652375	5.131464717	1.080139111	-3.7798778598	2.7667400878	-18.0144581278	2.3714880404	-5.3797690762	9.3812818876	9.1088362761	-3.1531714295	-14.0184362828	-1.7038285803	0.3369981907	3.0032991507	-15.1258686147	4.4089935332	43.4280470354	-0.2206900652	-10.4282893394	-4.02850983908382E-013	b
GSM1957019	280.3718091832	83.7407285018	-2.9030965981	14.9268895334	9.1999377526	-12.4900303485	-36.6092711554	-24.6015737538	3.3769406028	2.7603477986	-25.4582583917	17.9147619178	-11.9949515848	24.2730926795	-38.2531469326	14.9415547089	41.0101049506	12.42275291	6.5459793803	-0.2937512851	3.6660269768	-2.5962388812	-1.2666595292	0.0279176135	-0.4286196399	-1.1787466672	-1.4380808091	2.8562279787	3.1949841236	1.3899142489	1.8137857353	0.9866006497	0.91717111	-0.2179990285	-0.9939930097	-1.03183271388946E-012	b
GSM1957020	280.7258461459	74.4930957408	-6.225241738	7.3330557584	10.2941992685	-21.3027680492	-45.0550535739	-26.1769630346	7.8137495316	5.44917103	-12.2891249928	7.8694133726	-0.5444563825	24.0131807538	4.2714456068	-8.0715220504	-52.5391320109	-8.9569172419	-17.4082607399	17.0215849742	-9.6057402582	7.0026431154	-1.103843618	-1.1040686182	-3.6479332054	1.2342414189	-0.9477784298	-1.7357843898	-1.9971422209	-2.0384385673	-2.6877689799	-1.8554927923	-0.6163572664	-0.1738612116	1.2375972535	-5.1509791305351E-013	b
GSM1957021	289.4028770418	71.1382035503	-9.8425337938	8.9360969678	25.7904808718	-25.6659321628	-39.1002926015	-40.6031758985	-2.97835542	16.4036677193	8.0780168455	-12.556781982	13.9935248893	-47.5232536044	29.1701927754	-7.6199543523	10.6825117921	-3.0094372163	15.1261237334	-18.1514996216	7.0826457263	-2.6768682045	2.8122318316	2.8380083979	4.1118494587	0.6676201217	1.5357365056	-0.7684457524	-1.4952870299	0.2901619351	1.9041431095	1.7853496005	-0.5109314975	-0.3475988011	-0.0757934495	-1.1717992028093E-013	b
GSM1957022	305.6699180517	96.3854665061	-8.3156072686	34.0631044356	18.1936556295	14.1506216128	38.9000885181	30.9616952808	-7.1288169843	-23.6132806471	-1.056825207	7.1307921484	-31.4408444751	-43.6480118915	-31.7152796814	2.4047205999	-20.1535803362	2.7688364875	2.8691353827	0.4552291946	-4.623140105	3.1088317729	-3.3416177494	0.2954186853	-3.5923148795	-3.6151109211	0.2741779418	-0.1335736633	1.4170441902	-1.3662209853	-0.491526736	0.2715451425	-0.2781722609	0.9816023688	2.155915887	-3.10947448345367E-013	b
GSM1957023	302.1389561352	81.4451045865	-2.2875288153	32.2677204781	23.0860552978	12.556739042	36.7947818837	23.0082464908	-4.2533278902	9.7329281668	23.5502949935	-13.4676199501	21.8719007705	20.510176435	22.7257920234	49.7898673727	-2.9300769063	12.6428351692	3.8892849675	9.9015598262	8.6008764674	-5.1683579943	2.0470169821	-1.1027278811	0.0490983295	2.1767982151	-0.9925604218	0.4801451201	-0.1404931552	1.611576646	-0.7271051432	-1.2461314018	-0.4726837681	-2.0301833471	-2.2020377171	-7.21893248303851E-014	b
GSM1957024	297.378476404	88.6445247879	3.5017459363	41.6019123483	13.3073502228	18.7841722683	34.866058419	25.413004352	-2.4697506714	-10.594117967	7.1077358598	-3.5098054699	7.1493478982	26.9177881239	13.3053995547	-51.3446823374	22.381719193	-17.5008721639	-10.4928843091	-9.8196258962	-4.3034565435	0.569364373	1.7965873873	-1.6147912862	3.1068031066	0.7594090929	1.5889572929	-0.863949949	-1.161639283	0.3637371047	0.7233692811	0.1721665132	1.1284420394	1.4050796854	-0.1916028974	3.0531480121887E-013	b
